noisy_sentence,ground_truth
"Another day, another chaoz ft. Talanna Taylor",Talanna Taylor
Christan Williams's playlist >>>,Christan Williams
Danilo Martinez out here living rent free in my head,Danilo Martinez
Tonya Hills left the chat… again,Tonya Hills
Missed the train thx 2 Nicotia Holmes lol,Nicotia Holmes
Petition 2 crown James Washington meme lord,James Washington
Honestly Bosman Holland should run 4 office,Bosman Holland
Brian Butler really said 'I’m him/her/them' & meant it,Brian Butler
Always a moment w/ Keymontay Hebert around,Keymontay Hebert
Iisha Phillips owes me boba & knows it,Iisha Phillips
Anyone seen Dayna Jackson lately?,Dayna Jackson
Saw Torin Baxter @ Trader Joe’s 👀,Torin Baxter
Kaylin Prentiss got main character energy fr,Kaylin Prentiss
Y’all remember when Tyler Montgomery went viral??,Tyler Montgomery
Remember when Aaron Townsend started that trend?,Aaron Townsend
Can’t believe wut Cuz Davis posted today…,Cuz Davis
Marketa Hamilton w/ the win 🏆,Marketa Hamilton
Omg Johnathan Harris replied 2 my tweet 😭,Johnathan Harris
"Can’t lie, I kinda miss Mihael Allen",Mihael Allen
Hangin' out w/ Joseph Jacobs after work 🍻,Joseph Jacobs
Brian Chavis back on their bs again 💀,Brian Chavis
Brandi Harris said wut we’re all thinkin',Brandi Harris
Gotta thank Merrill Dawson 4 the life advice,Merrill Dawson
Waiting 4 Darius Norris 2 drop more chaos,Darius Norris
Literally can’t w/ Lele Brooks rn 😂,Lele Brooks
Every convo w/ Carla Davis iz therapy 😂,Carla Davis
Screaming @ wut Sam Dave just said 😭,Sam Dave
"If Ceola Harris says it, I believe it",Ceola Harris
Warren Jackson iz in their villain arc now,Warren Jackson
"Honestly, just love Corey Pittman’s vibe",Corey Pittman
Life was boring before Stephanie Barrow,Stephanie Barrow
Gym w/ Blare Knight hit different today,Blare Knight
"If bein' iconic was a crime, Deborah Mccray iz guilty",Deborah Mccray
Why does Youngboigreat Yrn always ghost group chats?,Youngboigreat Yrn
Woke up thinkin' about Veronica Morales's last post,Veronica Morales
Me tryin' 2 keep up w/ Litkel Tec’s drama,Litkel Tec
New episode dropped & Manuel Riveras already spoiled it,Manuel Riveras
Nobody talks about Ismari Banegas Sanchez enough,Ismari Banegas Sanchez
"BRB, still recovering from Jeremy Blanchard’s roast",Jeremy Blanchard
Literally obsessed w/ Chris C Mac’s energy,Chris C Mac
Gerald Tate iz on a whole new level rn,Gerald Tate
Anyone else think Carlos Torres iz way too funny?,Carlos Torres
"Honestly, Brazil Simon iz the GOAT",Brazil Simon
Gerald Tate bringing chaos 2 the timeline again,Gerald Tate
"Every group has a Donald Russell, & it shows",Donald Russell
"Carddelaltisha London if you’re readin' this, text me",Carddelaltisha London
Velasco Velasco's energy iz unmatched,Velasco Velasco
Caught Christophers Sarceno vibing 2 old Drake songs,Christophers Sarceno
Not me stalking Éugene Gray’s story again,Éugene Gray
Lisa Womack-Knox really snapped w/ that outfit 🔥,Lisa Womack-Knox
Y’all ever just misz Jose Rodriguez outta nowhere?,Jose Rodriguez
Bestie Lola Hinton always comin' through 💅,Lola Hinton
Can we talk about Darnell Ruffin’s fit today??,Darnell Ruffin
Hope Kris Devito iz doing ok today,Kris Devito
Just ran into Deirdre Alexis @ the coffee shop 😱,Deirdre Alexis
No notes. Laderick Mcclain nailed it.,Laderick Mcclain
Sametrius Henderson iz cooking again & I’m here 4 it,Sametrius Henderson
Jaden Honore iz that person who makez everything fun,Jaden Honore
Claudette Harris & iced coffee: my aesthetic,Claudette Harris
Luther Spikes always knows the best memes,Luther Spikes
Jason Liebert iz so underrated tbh,Jason Liebert
Give Quentin Honore a mic & the internet breaks,Quentin Honore
That awkward moment when u c Onlyoneme Vaughn IRL 😅,Onlyoneme Vaughn
Happy bday Moniqua Williams!!! 🎉🎂,Moniqua Williams
Ricky Harrison just invented being cool,Ricky Harrison
Name a better duo than me & Makayla Johnson,Makayla Johnson
Plot twist: it was Delana Thomas all along,Delana Thomas
Only real ones get Marquillus Holden references,Marquillus Holden
Never forget wut Loretta Young did last summer 💀,Loretta Young
Need that kind of energy Janice Akbar has,Janice Akbar
Daibryun Montgomery givez off 'CEO @ 22' vibes,Daibryun Montgomery
Imagine not knowing Bettaknownas Datboipq… couldn’t b me,Bettaknownas Datboipq
Movie night @ Patrick’s place?,Patrick
Just one text from Micheal Brent & I'm smilin',Micheal Brent
Y’all c wut Linda Lanieu tweeted???,Linda Lanieu
Caught myself laughing @ Joe Vessel’s tweet again,Joe Vessel
That thing Kourtney Batiste said… still thinking about it,Kourtney Batiste
I aspire 2 b as bold as Clifton Belton,Clifton Belton
Roosevelt Patterson in the commentz = instant entertainment,Roosevelt Patterson
S/O 2 Karla Magee 4 alwayz showing up,Karla Magee
Kathleen Leger walked in & owned the rom,Kathleen Leger
I blame Fer Rezendiz 4 my bad decisions today,Fer Rezendiz
Dinner w/ Patrick Washington was a vibe.,Patrick Washington
Throwback 2 when Mary Moore went off in the group chat,Mary Moore
Group project carried by Shannon Marsha fr,Shannon Marsha
Laughed way too hard @ La Teniente Murcia’s post,La Teniente Murcia
Manifesting a good day 4 Pierre Harleaux ✨,Pierre Harleaux
Lowkey wanna text Beautè Kweenz but nah,Beautè Kweenz
"Please, someone check on Dias Espinosa 😂",Dias Espinosa
"You either love Lionel West, or you’re wrong",Lionel West
Just saw Micheal Veal & wow 🤯,Micheal Veal
Ernest Holmes iz the reason I still hav Twitter,Ernest Holmes
Tony Yank just dropped the funniest TikTok 😂,Tony Yank
Okay but Riichar Alberto’z dog iz famouz now,Riichar Alberto
Deon Bland’s playlist healed my soul,Deon Bland
Mod: whatever Janelle Patterson iz on,Janelle Patterson
Ib Kb iz the blueprint,Ib Kb
"When Dulac Laco tweets, I listen",Dulac Laco
Coffee + Jose Rojas = perfect mornin',Jose Rojas
The streets miss Corey Robinson,Corey Robinson
